,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0001122009998653084,46.0,0.0,5,4096
1,1,0.002370274014538154,48.0,2.0,5,4096
2,2,0.00409722700715065,50.0,4.0,5,4096
3,3,0.0057840070221573114,52.0,6.0,5,4096
4,4,0.005841096019139513,54.0,8.0,5,4096
5,5,0.007489430019631982,56.0,10.0,5,4096
6,6,0.007547474000602961,56.0,11.0,5,4096
7,7,0.007600259006721899,56.0,13.0,5,4096
8,8,0.007650084007764235,56.0,15.0,5,4096
9,9,0.009476250008447096,54.0,17.0,5,4096
10,10,0.009539337013848126,54.0,19.0,5,4096
11,11,0.009576492011547089,54.0,20.0,5,4096
12,12,0.009630123007809743,52.0,22.0,5,4096
13,13,0.009683551004854962,50.0,24.0,5,4096
14,14,0.009734285005833954,52.0,26.0,5,4096
15,15,0.009784285997739062,54.0,28.0,5,4096
16,16,0.009836533019552007,54.0,30.0,5,4096
17,17,0.011767877003876492,56.0,32.0,5,4096
18,18,0.011838038015412167,58.0,34.0,5,4096
19,19,0.011906087020179257,58.0,36.0,5,4096
20,20,0.011967891012318432,58.0,38.0,5,4096
21,21,0.012028080003801733,58.0,40.0,5,4096
22,22,0.012087633018381894,58.0,42.0,5,4096
23,23,0.012148881010944024,56.0,44.0,5,4096
24,24,0.012190937995910645,56.0,45.0,5,4096
25,25,0.012251388019649312,54.0,47.0,5,4096
26,26,0.012312492006458342,54.0,49.0,5,4096
27,27,0.012372438999591395,54.0,51.0,5,4096
28,28,0.012412414012942463,54.0,52.0,5,4096
29,29,0.012470593996113166,56.0,54.0,5,4096
30,30,0.01253054800326936,56.0,56.0,5,4096
31,31,0.012590658996487036,56.0,58.0,5,4096
32,32,0.012650270015001297,56.0,60.0,5,4096
33,33,0.014681669999845326,56.0,62.0,5,4096
34,34,0.01475237900740467,56.0,64.0,5,4096
35,35,0.014812853012699634,56.0,66.0,5,4096
36,36,0.014872636005748063,56.0,68.0,5,4096
37,37,0.014931668003555387,56.0,70.0,5,4096
38,38,0.014987655013101175,58.0,72.0,5,4096
39,39,0.015045820997329429,58.0,74.0,5,4096
