,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,8.333299774676561e-05,8.0,0.0,0.01,4096
1,1,0.0025378070131409913,8.0,2.0,0.01,4096
2,2,0.00414456901489757,8.0,4.0,0.01,4096
3,3,0.005798440019134432,8.0,6.0,0.01,4096
4,4,0.0058608710241969675,8.0,8.0,0.01,4096
5,5,0.007680808019358665,8.0,10.0,0.01,4096
6,6,0.007713594997767359,8.0,11.0,0.01,4096
7,7,0.007747618015855551,8.0,13.0,0.01,4096
8,8,0.007771466014673933,8.0,14.0,0.01,4096
9,9,0.009367863007355481,8.0,16.0,0.01,4096
10,10,0.009411749022547156,8.0,18.0,0.01,4096
11,11,0.009452252008486539,8.0,20.0,0.01,4096
12,12,0.009484274021815509,8.0,22.0,0.01,4096
13,13,0.009517283004242927,8.0,24.0,0.01,4096
14,14,0.00954861001810059,8.0,26.0,0.01,4096
15,15,0.00958025100408122,8.0,28.0,0.01,4096
16,16,0.009604390012100339,8.0,29.0,0.01,4096
17,17,0.011203061003470793,8.0,30.0,0.01,4096
18,18,0.011250944022322074,8.0,32.0,0.01,4096
19,19,0.011295344011159614,58.0,34.0,0.01,4096
20,20,0.011331687011988834,59.0,36.0,0.01,4096
21,21,0.011369133018888533,59.0,38.0,0.01,4096
22,22,0.011398049013223499,59.0,39.0,0.01,4096
23,23,0.01143409701762721,59.0,41.0,0.01,4096
24,24,0.011469603021396324,59.0,43.0,0.01,4096
25,25,0.01149607400293462,59.0,44.0,0.01,4096
26,26,0.011530803021742031,59.0,46.0,0.01,4096
27,27,0.011565431021153927,59.0,48.0,0.01,4096
28,28,0.011592233000556007,59.0,49.0,0.01,4096
29,29,0.011618896998697892,59.0,50.0,0.01,4096
30,30,0.011651819018879905,60.0,52.0,0.01,4096
31,31,0.011686502024531364,60.0,54.0,0.01,4096
32,32,0.01172015702468343,61.0,56.0,0.01,4096
33,33,0.01347027500742115,61.0,57.0,0.01,4096
34,34,0.013516922015696764,61.0,59.0,0.01,4096
